key,year,city,country,query,lat,lon,provider,status,timestamp
1984|Sarajevo|Yugoslavia,1984,Sarajevo,Yugoslavia,"Sarajevo, Bosnia, Serbia",43.8602356,18.4302782,nominatim,ok,2025-11-25T17:55:45.799Z
1984|Los Angeles|United States,1984,Los Angeles,United States,"Los Angeles, United States",34.0536909,-118.242766,nominatim,ok,2025-11-25T17:55:47.113Z
1988|Calgary|Canada,1988,Calgary,Canada,"Calgary, Canada",51.0456064,-114.057541,nominatim,ok,2025-11-25T17:55:48.226Z
1988|Seoul|South Korea,1988,Seoul,South Korea,"Seoul, South Korea",37.5666791,126.9782914,nominatim,ok,2025-11-25T17:55:49.440Z
1992|Albertville|France,1992,Albertville,France,"Albertville, France",45.6754622,6.3925417,nominatim,ok,2025-11-25T17:55:50.603Z
1992|Barcelona|Spain,1992,Barcelona,Spain,"Barcelona, Spain",41.3825802,2.177073,nominatim,ok,2025-11-25T17:55:51.708Z
1994|Lillehammer|Norway,1994,Lillehammer,Norway,"Lillehammer, Norway, Norway",61.1333408,10.426585544131413,nominatim,ok,2025-11-25T17:55:52.853Z
1996|Atlanta|United States,1996,Atlanta,United States,"Atlanta, United States",33.7544657,-84.3898151,nominatim,ok,2025-11-25T17:55:53.995Z
1998|Nagano|Japan,1998,Nagano,Japan,"Nagano, Japan",36.6485851,138.1947664,nominatim,ok,2025-11-25T17:55:55.130Z
2000|Sydney|Australia,2000,Sydney,Australia,"Sydney, Australia",-33.8698439,151.2082848,nominatim,ok,2025-11-25T17:55:56.354Z
2002|Salt Lake City|United States,2002,Salt Lake City,United States,"Salt Lake City, Utah, United States",40.7596198,-111.886797,nominatim,ok,2025-11-25T17:55:57.464Z
2004|Athens|Greece,2004,Athens,Greece,"Athens, Greece",37.9755648,23.7348324,nominatim,ok,2025-11-25T17:55:58.595Z
2006|Turin|Italy,2006,Turin,Italy,"Turin, Italy",45.0677551,7.6824892,nominatim,ok,2025-11-25T17:55:59.696Z
2008|Beijing|China,2008,Beijing,China,"Beijing, China",39.9057136,116.3912972,nominatim,ok,2025-11-25T17:56:00.799Z
2010|Vancouver|Canada,2010,Vancouver,Canada,"Vancouver, Canada",49.2608724,-123.113952,nominatim,ok,2025-11-25T17:56:01.989Z
2012|London|United Kingdom,2012,London,United Kingdom,"London, United Kingdom",51.5074456,-0.1277653,nominatim,ok,2025-11-25T17:56:03.143Z
2014|Sochi|Russia,2014,Sochi,Russia,"Sochi, Russia",43.5854823,39.723109,nominatim,ok,2025-11-25T17:56:04.510Z
2016|Rio de Janeiro|Brazil,2016,Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,nominatim,ok,2025-11-25T17:56:05.801Z
2018|Pyeongchang|South Korea,2018,Pyeongchang,South Korea,"Pyeongchang, South Korea, South Korea",37.3705,128.3903,nominatim,ok,2025-11-25T17:56:07.386Z
2020|Tokyo|Japan,2020,Tokyo,Japan,"Tokyo, Japan",35.6768601,139.7638947,nominatim,ok,2025-11-25T17:56:09.229Z
2022|Beijing|China,2022,Beijing,China,"Beijing, China",39.9057136,116.3912972,nominatim,ok,2025-11-25T17:56:11.396Z
2024|Paris|France,2024,Paris,France,"Paris, France",48.8534951,2.3483915,nominatim,ok,2025-11-25T17:56:14.391Z
2026|Milan Cortina d'Ampezzo|Italy,2026,Milan Cortina d'Ampezzo,Italy,"Milan, Italy",45.4641943,9.1896346,nominatim,ok,2025-11-25T17:56:16.273Z
2028|Los Angeles|United States,2028,Los Angeles,United States,"Los Angeles, United States",34.0536909,-118.242766,nominatim,ok,2025-11-25T17:56:18.611Z
2030|French Alps|France,2030,French Alps,France,"French Alps, France",43.9525507,7.479428251496097,nominatim,ok,2025-11-25T17:56:21.096Z
2032|Brisbane|Australia,2032,Brisbane,Australia,"Brisbane, Australia",-27.4689623,153.0235009,nominatim,ok,2025-11-25T17:56:22.849Z
2034|Salt Lake City|United States,2034,Salt Lake City,United States,"Salt Lake City, Utah, United States",40.7596198,-111.886797,nominatim,ok,2025-11-25T17:56:24.209Z
