Year,City,Country,Season,Notes,Source_table,Raw
1956,Melbourne Stockholm,Australia Sweden,Winter,,, | Melbourne Stockholm | Australia Sweden | Oceania Europe | S016 XVI |  | 10 June 1956 22 November 1956 | 17 June 1956 8 December 1956 | 
1956,Italy,,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,"4 | Italy | 1956 | 2026 | 1 ( 1960 ) | 3 ( 1944 , 1956 , 2006 , 2026 )"
1956,Australia,Oceania,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,"3 | Australia | Oceania | 1956 | 2032 | 3 ( 1956 , 2000 , 2032 ) | "
1956,3,Oceania,Winter,,,"3 | Oceania | 1956 | 2032 | 3 ( 1956 , 2000 , 2032 ) | "
1960,Squaw Valley,United States,Winter,,, | Squaw Valley | United States | 1960 | North America |  | W008 VIII | 18 February 1960 | 28 February 1960 | 
1960,Rome,Italy,Winter,,, | Rome | Italy | Europe | S017 XVII |  | 27 August 1960 | 11 September 1960 | 
1964,Innsbruck,Austria,Winter,,, | Innsbruck | Austria | 1964 |  | W009 IX | 29 January 1964 | 9 February 1964 | 
1964,Tokyo,Japan,Winter,,, | Tokyo | Japan | Asia | S018 XVIII |  | 10 October 1964 | 24 October 1964 | 
1964,Japan,Asia,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,"Japan | Asia | 1964 | 2020 | 2 ( 1940 , 1964 , 2020 ) | 2 ( 1940 , 1972 , 1998 )"
1964,Austria,,Winter,,List of countries ranked by the number of times they hosted or will host the Olympic Games,"2 | Austria | 1964 | 1976 |  | 2 ( 1964 , 1976 )"
1964,8,Asia,Winter,,,"8 | Asia | 1964 | 2022 | 4 ( 1940 , 1964 , 1988 , 2008 , 2020 ) | 4 ( 1940 , 1972 , 1998 , 2018 , 2022 )"
1968,Grenoble,France,Winter,,, | Grenoble | France | 1968 | Europe |  | W010 X | 6 February 1968 | 18 February 1968 | 
1968,Mexico City,Mexico,Winter,,, | Mexico City | Mexico | North America | S019 XIX |  | 12 October 1968 | 27 October 1968 | 
